text,label
@Ofblosom Oh ... dia paham kok cuma mau pura-pura tidak peka. Spill dong! Nama umur alamat orang tua APA SIH?!,1
@erigostore Spill foto si Flora itu min,1
@albatroaz_ @worksfess Spill username/ nomor wa nya kak,1
@dhinnnnnong faker itu tu curi muka orang kayak misal lagi spill foto rl ternyata yang di spill itu foto orang bukan foto dianya,0
@txtdarionlshop Spill nomor blio nder aku pens berat,1
@istrimuuu889 @unnesmenfess pliss spill foto lokasinya nder wkwk,0
@tanyakanrl Aduh foto gua lg ngupil masa iya gua spill dimari,0
Affah iyaah ? Spill dulu fotonya ,0
Udah dimaki sih. Kalo gk ganti ⭐ gua spill alamatnya anying gua tau lokasinya itu deket woy,0
@dady_suryady Whaaattt ??! Sampe bisik bisik sama Ibu Negara ??!! Itu spill Om .. muka e selalu ditutupi soale ,0
@k_miguu ih salfok ini di foto pake hp apa spill,0
spill foto nya kek kak,0
@convomfs Spill nomernya gak sih,1
@cdhoilia KOK GUARDIAN KGAK DI SPILL? SEBURUK IQTUKAH MUKA Q GK DI SPILL?!! ,0
Spill Foto/Video Pendakian penuh Debunya dong !!,0
@roomansick @hqror @mallbmer coba spill wa,0
@dikothala Pasti gak mau sebar foto ciliknya malah jadi cilik dianya.,0
@nighhtride @tanyakanrl spill muka yg nanya...,1
@Y16fear @breadluvpham ini mau lu hapus atau mau gua spill muka lu?,0
@idrisbue Tolong spill alamatnya kali aja ada yg mau silahturahmi,1
@7iwoong kok sebar sebar foto temanku,0
@K0NY0LU Ini di spill rumahnya https://t.co/GMoha1DVgn https://t.co/9ypEOO37Xr,0
@Heeyouyaaa Spill nomor suamimu mbak biar viral gak cuma si bidan. Brengseknya sama tapi yang ancur si ceweknya doang,1
@ssefnum eh blh spill itu muka spa ya aku kek kenal tapi lupa,0
@FWBESS Spill muka cowoknya. Emang banyak cowok mokondo sekarang tuh,1
Spill aja chi nomernya bakal gue teror tuh orang ,1
@rorygilm000re Kak. Klo sebar kondar itu gmn ya ? Nomer sy dijadiin kondar sm temen. Klo dia gak bayar2 data2 sy yg di sebar atau gmn ? Makasih ka,0
BIDADARA.. nnti spill mukanya ya tth,0
@jmazeey mantap ditunggu spill foto aa nya,0
@kegblgnunfaedh Serang akunnya dan no wa nya,1
@archeylabiya spill aja kakk nomornya jahat bgt diaaa,1
ya Allah spill aja ji no hp nya,1
Akhirnya foto kita d spill https://t.co/S6aTDLlLnf,0
@millantha Spill tempat fotonya dong.,0
Jen apa kagak mau spill satu aja gtu foto Jm nya ,0
@kegblgnunfaedh Spill wajahnya yg jelas no sensor. Terus apa motif dia ke Jogja? Mao join klitih? Ungkap tuh klitihnya sekalian klo emang iya,1
@convomf Sebar aja alamat rumahnya bakar rumahnya,1
@rizusc Spill alamat nanti aku kasih basreng satu truk,0
Duhhhhhh roniiiii pliss kasih gue nafassssssssss dulu jangan di serang dengan foto/video lo yang buat gue gilaakk,0
@h0lyshxt_ Sebar nomernya,1
